fid_1,Lake,EM_17,EM_18,EM_19,EM_20,EM_21,EM_22,EM_23,EM_24,SFM_17,SFM_18,SFM_19,SFM_20,SFM_21,SFM_22,SFM_23,SFM_24,OW_17,OW_18,OW_19,OW_20,OW_21,OW_22,OW_23,OW_24
1,Aisetas,370706.874802683,490829.0091154662,599340.3586271096,410261.5678031775,339676.2586415908,301100.443609919,532789.7265012999,362747.3741394045,51687.93294136198,91780.9541601742,220747.9658467012,344374.80448744533,439848.03439678106,396700.81530227634,151307.72437503294,393400.0170419581,5086934.986543247,4926719.830829099,4689241.469630927,4754693.421814116,4681365.916093985,4811528.535200682,4825232.343396581,4753182.402923377
2,Akmena,61314.68068304617,NA,124297.43029580211,NA,NA,71503.67835850439,191452.2253235017,92173.14472662238,131886.3224961375,NA,86806.22272169817,NA,NA,127422.8086610981,32980.55457729264,88006.34931287581,2509189.614954045,NA,2491286.965115731,NA,NA,2503464.1311136284,2477957.8382324367,2522211.124093733
3,Alaušai,49976.468355964265,NA,186492.27921959403,92365.08760603348,NA,72000.7132044176,123919.205807121,139226.96479558,202963.35708126024,NA,132318.2780611973,214576.5581699298,NA,268745.1673548084,173707.2777039472,167665.02489562694,2339201.04559398,NA,2273330.313750413,2285199.225374962,NA,2251394.990471978,2294514.3875201354,2285248.881339997
4,Alaušas,221024.65801022048,326933.1921869174,397378.2493607038,271307.6991011678,251086.10135785217,313693.64896324096,336550.6219855832,359484.42906121834,177974.428184195,403268.774108139,553277.9477722612,584862.923903581,901174.2547172988,591033.4177908362,523726.9186765187,543394.3781843749,10176849.246663846,9845646.366563214,9625192.135725304,9719338.11662613,9374884.871821716,9664667.99227378,9715570.792196166,9672969.525612673
5,Almajas,43329.01937012014,60604.0527009552,72537.73821252557,50794.54934137379,NA,49964.0551310969,75043.98722362144,72306.11845104741,14971.58558434879,24437.98009247125,53695.80666122435,72629.80671159332,NA,74619.40857401825,43737.52642087749,71238.89562792309,992574.4451177408,965833.0172787834,924641.50519846,927450.6940192428,NA,925949.966013396,932093.536427711,907330.0359932394
6,Alnis,49643.34282219086,81443.8242331262,76324.32876513623,66030.21225253839,43019.0478957831,NA,72985.18843850539,66739.76019453167,1056.320381044874,3684.871380525477,13890.049856941372,19595.759893484657,45008.31004396324,NA,2632.220234680176,10223.156809758208,975260.6014987412,940831.569088326,935745.8860799002,940334.2920880184,927997.2421351564,NA,950342.8560287922,948997.3476976876
7,Alsakys,45250.01154131424,115152.95141555175,157853.1917552573,99285.07545489134,93714.18265922382,78883.5389183642,192644.8859516668,103365.43632836422,103468.30861150703,32698.27271653718,80191.15516943837,121727.80503086762,150975.4240640079,143678.13511648736,39296.9746315152,117541.65033922382,1125013.1338985667,1125880.229919299,1035687.1071266924,1052718.573565629,1029041.8473281562,1051169.7800165364,1041789.593468206,1052824.3673838
8,Alys,17546.017308882176,31941.75967857509,33894.663436769966,NA,21802.39404359705,20727.478430983585,26859.177031468404,32762.64187414131,11344.761128578932,1079.4293082592535,10234.387189588362,NA,18094.049394241025,9425.251519551,1958.5612790874409,6959.196066747928,1353097.182732721,1342762.370839048,1337858.9105438236,NA,1341746.8686005694,1351835.2312196477,1353170.2228596264,1342266.1232292927
9,Amalvas,151965.30502431525,139469.4253574445,NA,NA,92699.79150698798,136471.0328869388,117462.68061499504,106867.24606975488,77404.646159662,71339.08282473695,NA,NA,180389.38750730027,147888.28118856088,167058.71749161364,210036.4254220104,1666433.8035335469,1684995.2465353422,NA,NA,1622714.5757032358,1611444.4406420237,1611282.3566109152,1578900.0832257587
10,Ančia,258913.1860997821,303157.10258066584,NA,NA,230019.8079216605,226357.81446245985,475244.95894938544,240213.23409034908,201749.7395158207,84129.63929726095,NA,NA,300774.24419555685,285980.2557694679,80748.22654803407,267286.52402078966,4367158.273281681,4438006.922450573,NA,NA,4297027.146780067,4315483.128665355,4271828.013399867,4320321.440786146
