fid_1,Lake,EM17,EM18,EM19,EM20,EM21,EM22,EM23,EM24,SFM17,SFM18,SFM19,SFM20,SFM21,SFM22,SFM23,SFM24,dEM18,dSM18,dEM19,dSM19,dEM20,dSM20,dEM21,dSM21,dEM22,dSM22,dEM23,dSM23,dEM24,dSM24
1,Aisetas,6.73,8.91,10.88,7.45,6.17,5.47,9.67,6.58,0.94,1.67,4.01,6.25,7.98,7.2,2.75,7.14,2.1799999999999997,0.73,1.9700000000000009,2.34,-3.4300000000000006,2.24,-1.2800000000000002,1.7300000000000004,-0.7000000000000002,-0.7800000000000002,4.2,-4.45,-3.09,4.39
3,Alaušai,1.93,4.11,7.19,3.56,3.15,2.78,4.78,5.37,7.83,5.73,5.1,8.28,8.83,10.37,6.7,6.47,2.1800000000000006,-2.0999999999999996,3.08,-0.6300000000000008,-3.63,3.1799999999999997,-0.41000000000000014,0.5500000000000007,-0.3700000000000001,1.5399999999999991,2.0000000000000004,-3.669999999999999,0.5899999999999999,-0.23000000000000043
4,Alaušas,2.09,3.09,3.76,2.57,2.37,2.97,3.18,3.4,1.68,3.81,5.23,5.53,8.52,5.59,4.95,5.14,1,2.13,0.6699999999999999,1.4200000000000004,-1.19,0.2999999999999998,-0.19999999999999973,2.9899999999999993,0.6000000000000001,-2.9299999999999997,0.20999999999999996,-0.6399999999999997,0.21999999999999975,0.1899999999999995
5,Almajas,4.12,5.77,6.9,4.83,5.06,4.75,7.14,6.88,1.42,2.33,5.11,6.91,6.93,7.1,4.16,6.78,1.6499999999999997,0.91,1.1300000000000008,2.78,-2.0700000000000003,1.7999999999999998,0.2299999999999995,0.01999999999999957,-0.3099999999999996,0.16999999999999993,2.3899999999999997,-2.9399999999999995,-0.2599999999999998,2.62
7,Alsakys,3.55,9.04,12.39,7.79,7.36,6.19,15.12,8.12,8.12,2.57,6.3,9.56,11.85,11.28,3.09,9.23,5.489999999999999,-5.549999999999999,3.3500000000000014,3.73,-4.6000000000000005,3.2600000000000007,-0.4299999999999997,2.289999999999999,-1.17,-0.5700000000000003,8.93,-8.19,-7,6.140000000000001
12,Antalieptė Reservoir,3.2,5.46,7.19,4.29,3.02,2.78,6.52,5.91,1.19,2.35,6.8,9.43,10.37,12,6.16,9.69,2.26,1.16,1.7300000000000004,4.449999999999999,-2.9000000000000004,2.63,-1.27,0.9399999999999996,-0.2400000000000002,1.6300000000000008,3.74,-5.84,-0.6099999999999994,3.5299999999999994
15,Asalnai,2.55,4.92,6.94,4.14,3.61,3.21,6.66,4.86,1.37,3.41,5.46,7,8.38,7.56,3.87,6.69,2.37,2.04,2.0200000000000005,2.05,-2.8000000000000007,1.54,-0.5299999999999998,1.3800000000000008,-0.3999999999999999,-0.8200000000000012,3.45,-3.689999999999999,-1.7999999999999998,2.8200000000000003
16,Asavas,2.03,3.51,5.51,2.79,2.68,2.65,4.93,4.57,1.57,4.55,8.96,11.18,11.1,11.86,8.19,9.86,1.48,2.9799999999999995,2,4.410000000000001,-2.72,2.219999999999999,-0.10999999999999988,-0.08000000000000007,-0.03000000000000025,0.7599999999999998,2.28,-3.67,-0.35999999999999943,1.67
17,Asveja (Dubingiai Lake),2.93,6.65,6.18,4.14,2.86,2.26,5.5,5.81,2.65,0.76,3.23,4.14,4.99,5.14,2.52,2.5,3.72,-1.89,-0.47000000000000064,2.47,-2.04,0.9099999999999996,-1.2799999999999998,0.8500000000000005,-0.6000000000000001,0.14999999999999947,3.24,-2.6199999999999997,0.3099999999999996,-0.02000000000000001
22,Baltieji Lakajai,1.78,3.23,4.28,2.89,2.15,1.47,3.26,2.99,0.76,2.25,3.51,2.79,6.09,3.63,2.11,2.76,1.45,1.49,1.0500000000000005,1.2599999999999998,-1.39,-0.7199999999999998,-0.7400000000000002,3.3,-0.6799999999999999,-2.46,1.7899999999999998,-1.52,-0.2699999999999996,0.6499999999999999
