fid_1,RD05,Max,S_m2,Type,morf_group,X,Y
1,6.33372775768024,40,5012000,1,1,25.716647764754,55.30990015866444
2,6.4381976786551,30.2,2765000,1,2,24.878922638382,54.664423968064
3,3.57458759825623,16.2,2581000,1,1,25.088423973825,55.30199581485758
4,3.81007497743912,7.6,500000,1,1,25.703679265143,55.6092314704797
5,3.62211531020055,10.5,1056000,1,1,25.979771531827,55.39046046409152
6,7.57886107377582,22.05,1063700,1,2,25.67633355,55.26995046013904
7,1.25087340639679,4,1285000,1,3,24.842505175175,54.63697816210708
8,0.469405838171312,1.6,1460000,1,3,25.164770589964,55.03076328068098
9,0.739987315627042,2.9,1930000,1,3,23.586999520669,54.52814457363784
10,4.10547121768738,26,5040000,1,1,23.700497761968,54.07273542031508
11,2.53755556245613,11.6,2626000,2,4,23.740326977514,55.28354092208042
12,4.38958254757983,46,13800000,2,5,26.044259899732,55.62342755224394
13,1.50634138940694,4.3,1024000,2,4,23.402810264183,54.66833355256438
14,3.34151144541391,18.3,3769000,1,1,25.667225834926,55.06308157010554
15,6.3952261033401,33,3346000,1,2,26.039404421561,55.34880291143424
16,1.72698497198667,6.9,2006000,1,3,26.198998771353,55.6234847250528
17,7.20516169748474,50.2,6100000,1,2,25.516567434634,55.0415866899784
18,4.71054848512998,14,1110000,1,1,23.718611425033,54.37548738443752
19,8.27818006019317,40,2934000,2,5,24.555226086394,54.56946317856576
20,9.79890276852413,32.8,1408000,1,2,23.924957564457,54.0859429783921
21,2.35571276762838,11,2740000,2,4,22.148405697499,55.36318899974832
22,6.02587889510266,45,7008000,1,1,25.633946937275,55.21174026135418
23,2.73316688459428,12.3,2545000,2,4,23.82293909495,53.99148344326728
24,8.38071132084935,37.5,2516000,1,2,25.568654889981,55.04748324402464
25,5.67631488622404,33.1,4273000,1,1,26.027733170749,55.40147296339184
26,4.3957429394864604,24,3746000,1,1,25.462494104572,55.18732755767056
28,3.69929420282263,13.2,1600000,2,4,24.07539799663,55.28609789060774
29,5.04990747672464,44,9540000,1,1,24.358465586535,54.33841416841
30,1.32005178882919,5.2,1950000,1,3,24.485022398436,54.42766314703726
31,0.840208310141254,2.47,1086000,1,3,21.978301557034,55.31062380220722
32,3.16758373835545,24,7214000,1,1,26.095666771187,55.3652682256317
33,1.61817448976593,10.5,5291000,1,3,26.308215826037,55.5794379002422
34,4.57429490981139,23,3177000,1,1,25.39831001041,55.25268585035592
35,2.39206020583251,32.6,23340000,1,3,23.69278604417,54.29764642889816
36,1.26374929850427,5.9,2739000,1,3,25.388458407122,55.80265712094584
37,2.99195320535535,10.1,1432000,2,4,24.905094135984,54.22347129763622
38,2.85656803146976,30,13860000,2,5,24.666922302765,54.7409876725039
39,7.1968244142392,54.8,7286000,1,2,23.422720604781,54.1824261694406
40,9.03959567189061,50.1,3860000,1,2,23.576923558378,54.15344048440678
41,2.51226207237146,17.1,5822000,1,3,25.511121632693,55.15684901395592
42,4.45681923339177,22,3062000,1,1,25.733065605765,55.32600453201986
43,8.61086541317288,46.8,3712000,1,2,24.936369783257,54.65976206153966
44,1.59557549039044,5,1234000,1,3,23.197180900417,55.64996182862048
45,12.4404491452174,39,1235000,1,2,26.133590783022,55.33118991374084
46,5.55909418528917,22,1968100,1,1,23.622370476489,54.38187133228148
47,3.37534510092958,11.1,1359000,1,1,24.50565648864,54.24849187422178
48,0.80810507987016,2.47,1174000,1,3,23.868150585249,54.4067144944743
49,10.4943088645621,35.5,1438000,1,2,24.739749036952,54.62541115488786
50,0.723601254558268,2.5,1500000,1,3,24.591119062126,54.77736335734842
51,1.69732094360332,5.11,1139000,1,3,21.820706840288,56.00928214246334
52,4.41497429650799,23.2,3470000,1,1,24.207559773015,54.26316251072528
53,4.88162346381228,23.8,2987000,1,1,25.79463041476,55.60698297485138
54,0.614123847403767,3.1,3202000,1,3,25.617464403168,55.15479790026112
55,5.85700450793912,32.8,3941000,1,1,25.643310833143,55.19011424081306
56,1.53965215332897,6.3,2104000,2,4,22.728189406156,55.0929356399421
57,1.76750096624308,7,1971000,1,3,24.266819597371,54.71209546265542
58,1.07832870180735,24.6,65400000,2,5,24.013690824973,54.86804551138382
59,1.91743604915551,6.4,1400000,1,3,23.931807709752,54.42702581214082
60,0.80836332916992,5.2,5200000,1,3,25.621268137436,55.1809700840772
61,1.30253707532821,10.9,8800000,1,3,26.081796817298,55.25287036020478
62,0.315941346588713,2.51,7931300,1,3,21.328491973564,55.3675649207395
63,3.36316289218753,10,1111000,2,4,23.902451084985,55.18305688240052
64,3.41999870033428,11,1300000,1,1,23.805645185133,54.91735558188662
65,2.84084537791513,10.2,1620000,1,3,24.417673351356,54.16953206175668
66,1.29040758527959,5.9,2627000,1,3,24.55658100508,55.43527872104038
67,7.82513526793166,26.1,1398000,1,2,26.012584440136,55.58201088428376
68,1.80752332168567,18.4,13022000,1,3,26.227357019266,55.57612904367638
69,15.2105592810121,43.8,1042000,1,2,25.414965491457,55.2107326957149
70,6.62973616075408,37,3914000,1,2,26.06726853285,55.33328208227862
